شرکت|نام ماشین|مشخصات فنی|مزایا|معایب
سایپا|کوییک GX|"
دو سال پس از عرضه کوییک S، شرکت خودروسازی سایپا در پاییز 1402 دست به معرفی نسخه ارتقایافته این محصول با نام کوییک GX زد که به لحاظ ظاهری، کاملا مشابه کوییک S است اما در قسمت فنی و همچنین در قسمت امکانات، بهبودهایی در آن رخ داده. در قسمت فنی، مهم‌ترین نکته در کوییک GX، استفاده از موتور بهبودیافته M15i است. این همان پیشرانه معروفی است که نسخه معمولی آن (M15) روی اکثر اعضای خانواده X200 سایپا نیز قرار گرفته است. اما سایپا در نسخه جدید این موتور (M15i) بهبودهای مهمی را انجام داده است. مثلا زاویه پاشش انژکتورها را تغییر داده، نسبت تراکم را بیشتر کرده، استاندارد آلایندگی را به یورو5 رسانده که البته قابل ارتقا به یورو6 نیز هست، تکنولوژی زمان‌بندی متغیر یا CVVT را به آن افزوده، میل سوپاپ‌ها و پیستون‌ها را تغییر داده و سرسیلندر و همچنین خروجی هوا را نیز مجددا طراحی کرده است. به لطف همه این تغییرات، علاوه بر کاهش استهلاک و افزایش راندمان پیشرانه، کوییک GX در مقایسه با کوییک S، مصرف سوختش کاهش یافته ولی قدرت و گشتاورش، اندکی بیشتر شده است. دومین تفاوت کوییک GX با کوییک S، مربوط به امکانات جدید این خودروست. تیپ GX که چراغ دی‌لایت، اتولایت (سنسور نور) و سنسور باد تایر (TPMS) را بصورت استاندارد دارد، در دو تیپ لوآپشن یا GX-L و فول آپشن یا GX-H تولید شده است که تیپ ارزان‌تر، تجهیزاتی مانند مالتی مدیا (مانیتور 7 اینچی+دوربین عقب+نویگیشن)، دکمه کنترل صدا روی فرمان، شیشه‌های دودی عقب و رینگ آلومینیومی را ندارد.  مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
5 دنده دستی
پیشرانه
4 سیلندر M15i بهبودیافته
حجم موتور
1.5 لیتر
عملکرد فنی
قدرت
90 اسب‌بخار
گشتاور
137 نیوتن‌متر
سرعت
160 کیلومتر برساعت
مصرف ترکیبی
6.7 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
هاچ بک کوچک
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول (Q212) - فیس لیفت
طول
4005 میلی‌متر
عرض
1678 میلی‌متر
ارتفاع
1532 میلی‌متر
فاصله محوری
2412 میلی‌متر
وزن
1065 کیلوگرم
حجم باک
41 لیتر
چرخ جلو
185/65R14
چرخ عقب
185/65R14
سایر ویژگی‌ها
رینگ فولادی"|"پیشرانه بهبودیافته M15i
بهبود آپشن‌ها نسبت به کوییک اس
امکانات بیشتر در تیپ H"|کوییک GX
سایپا|کوییک GXR|"کوییک GX و کوییک GXR از نظر مشخصات فنی موتور تفاوت چشمگیری با یکدیگر ندارند. هر دو خودرو از یک پیشرانه مشابه استفاده می‌کنند و نوع موتور آن‌ها M15 ارتقاء یافته (یورو ۵) است. حجم موتور کوییک GX به اندازه‌ی ۱.۵ لیتر است و کوییک GXR موتوری با حجم ۱۴۹۷ سی‌سی دارد. این دو خودرو از نظر گیربکس نیز تفاوتی ندارند و هر دو گیربکس ۵ سرعته دستی دارند.  ز نظر ظاهری خودروی GXR مدرن‌تر و اسپرت‌تر است. این خودرو که مدلی ارتقا یافته از نظر ظاهر محسوب می‌شود، بهترین گزینه برای افرادی است که یک خودروی کوییک شیک و مدرن‌تر می‌خواهند. در مقابل، خودروی GX برای کسانی که به قیمت خودرو بیش از ظاهر آن اهمیت می‌دهند، گزینه‌ای ایده‌آل است.

کوییک GX تقریباً ۳۸۰۰ میلی‌متر طول و حدود ۱۷۵۰ میلی‌متر عرض دارد. ارتفاع آن نیز ۱۵۳۰ میلی‌متر است. در مقابل، ابعاد کوییک GXR ۴۰۰۵ در ۱۶۷۸ در ۱۵۳۲ میلی‌متر است. این تفاوت باعث شده که کوییک GX برای رانندگی در شهرهای شلوغ مناسب‌تر باشد.

خودروی GX چراغ روشنایی روز ندارد اما در مدل GXR کوییک، یک چراغ روز LED طراحی شده است. علاوه‌براین، کوییک GRX برخلاف کوییک GX یک مه‌شکن جلو دارد که در سپر آن تعبیه شده است. سپر جلو و عقب کوییک GX طراحی نسبتاً ساده‌ای دارد اما GXR ظاهری شیک‌تر و اسپرت دارد.

تفاوت دیگری که در مقایسه کوییک GX و کوییک GXR به چشم می‌آید، تفاوت در رینگ است. کوییک GXR برخلاف مدل‌هایی همچون کوییک GX رینگ فولادی با قالپاق ندارد. در عوض، رینگ‌هایی که برای این خودرو طراحی و ساخته شده، از جنس آلومینیوم هستند. این خودروی جدید کوییک رینگ آلومینیومی ۱۴ اینچی با طرح اسپرت و مدرن‌تر دارد. رنگ این رینگ بسته به مدل آن نیز متفاوت است.

آینه‌های جانبی خودروی GX به صورت دستی و ساده و هم‌رنگ بدنه‌ی آن طراحی شده‌اند. در مقابل، GXR آینه‌های برقی که بسته به مدل آن قاب‌های نسبتاً متفاوتی دارد اما اغلب قاب آن مشکی براق است.

خودروی کوییک GX سقفی یک‌رنگ با بدنه دارد اما خودروی کوییک GXR سقفی مشکی و بدنه‌ای با رنگ‌های سفید، قرمز یا نقره‌ای دارد. ظاهر خودروی GXR طوری طراحی شده که جوان‌پسند باشد و بتواند نظر نسل جوان و علاقه‌مندان به خودروهای مدرن‌تر را به خود جلب کند.
"||
سایپا|شاهین GL|"
شرکت خودروسازی سایپا در تابستان 1402 به دلایلی که هنوز مشخص نیست، تعداد محدودی از مدل‌های شاهین G را بدون سانروف به بازار فرستاد و نام این تیپ جدید را شاهین GL گذاشت. شاهین جی ال، نه تنها در مشخصات فنی، بلکه در امکانات و تجهیزات نیز دقیقا مشابه شاهین G دنده‌ای بوده طوریکه به غیر از حذف سانروف، هیچگونه تغییر دیگری در آن رخ نداده است. البته از آنجایی که رعایت استانداردهای 85گانه در سال 1402 برای خودروسازان اجباری شده بود، شرکت سایپا چندین ماه پس از شروع تحویل سری اول شاهین GL، سری دوم این خودرو را در زمستان 1402 به تولید رساند. در سری دوم شاهین GL سه آپشن «کنترل پایداری» و «کنترل کشش» و همچنین «کمکی حرکت در سربالایی» نیز نصب شده بود.مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
5 دنده دستی
پیشرانه
4 سیلندر توربوشارژ (M15T)
حجم موتور
1.5 لیتر
عملکرد فنی
قدرت
110 اسب‌بخار
گشتاور
178 نیوتن‌متر
شتاب
13.2 ثانیه
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
7.2 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول
طول
4446 میلی‌متر
عرض
1771 میلی‌متر
ارتفاع
1490 میلی‌متر
فاصله محوری
2650 میلی‌متر
وزن
1270 کیلوگرم
حجم باک
47 لیتر
چرخ جلو
185/65R15
چرخ عقب
185/65R15
سایر ویژگی‌ها
رینگ آلومینیومی"|"پلتفرم ملی SP سایپا
صندوق عقب 420 لیتری
طراحی ظاهری قابل قبول
اضافه‌شدن آپشن‌های جدید از زمستان 1402"|"پیشرانه پراستهلاک و کم بازده
حذف سانروف نسبت به تیپ G دنده‌ای"
سایپا|شاهین G (سانروف)|عین شاهین G هست فقط سانروف داره.||
سایپا|شاهین اتوماتیک G|"
دو سال پس از عرضه شاهین دنده‌ای، شرکت خودروسازی سایپا سرانجام در پاییز 1402، نسخه اتوماتیک شاهین را هم به بازار آورد. قبل از هرچیز باید بدانید که شاهین اتومات، دارای گیربکس AT نیست بلکه از گیربکس CVT بهره می‌برد که تیپ ترونیک هم دارد و قابلیت تعویض 7 دنده مصنوعی را هم در اختیارتان قرار می‌دهد. حالا که صحبت از گیربکس شد، این نکته را هم بگوییم که شاهین CVT، توانش را از همان موتور 8 سوپاپ M15TC می‌گیرد که قبلا در «شاهین دستی» نصب شده بود. در قسمت ظاهری، تفاوت خاصی میان شاهین دنده‌ای و شاهین اتومات وجود ندارد البته اگر به دقت به جزییات هر دو مدل نگاه کنید، متوجه می‌شوید که سایپا در نسخه اتومات، جلوپنجره و قاب دستگیره‌ها را کرومی کرده است. همچنین در انتهای سقف نیز «آنتن کوسه‌ای» را می‌بینید که در شاهین دستی وجود ندارد. در نمای داخلی خودرو نیز متوجه قطعات «هیدروگرافی» کابین (شامل زیرآرنجی، ابرویی داشبورد و پنل دسته دنده) می‌شوید. ضمن اینکه «کفپوش سه بعدی» نیز بصورت استاندارد در اختیار خریداران شاهین اتومات قرار می‌گیرد. این خودرو همچنین به کروز کنترل و اسپید لیمیتر (محدودکننده سرعت) مجهز شده که کلیدهای مرتبط به آن، روی غربیلک فرمان، دیده می‌شود. آخرین تغییر در کابین شاهین اتومات، مربوط به نمایشگر جدید خودروست؛ درحالیکه شاهین دستی از مانیتور 7 اینچی بهره می‌برد، اما شاهین اتومات دارای مانیتور 10 اینچی است.  مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
CVT با 7 دنده مصنوعی
پیشرانه
4 سیلندر توربوشارژ (M15T)
حجم موتور
1.5 لیتر
عملکرد فنی
قدرت
110 اسب‌بخار
گشتاور
178 نیوتن‌متر
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
7.5 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول
طول
4446 میلی‌متر
عرض
1771 میلی‌متر
ارتفاع
1490 میلی‌متر
فاصله محوری
2650 میلی‌متر
وزن
1320 کیلوگرم
حجم باک
47 لیتر
چرخ جلو
185/65R15
چرخ عقب
185/65R15
سایر ویژگی‌ها
رینگ آلومینیومی"|"بهبود مانیتور
اضافه شدن کروز کنترل و لیمیتر
سه آپشن‌ ایمنی نسبت به شاهین دستی"|"عدم بهبود ظاهری نسبت به شاهین دستی
عدم بهبود موتور نسبت به شاهین دستی"
سایپا|شاهین اتوماتیک پلاس|"
موتور معروف EC5، یکی از بهترین یادگاری‌هایی بود که پژوسیتروئن برای خودروسازان ایرانی، به جای گذاشت. شرکت ایران خودرو، نسخه تغییریافته این موتور را در پاییز 1399 با نام TU5P معرفی کرد و سپس آنرا روی اکثر محصولاتش (ازجمله خانواده تارا، راناپلاس پانوراما، خانواده 207 و ....) نصب کرد. اما به موازات ایران خودرو، شرکت سایپا نیز به کمک مهندسین شرکت «مگا موتور» و مرکز تحقیقات و نوآوری سایپا، دست به تولید نسخه بومی‌سازی شده EC5 زد که نهایتا، به خلق موتور جدید ME16 در بهار 1402 منجر شد؛ موتوری که از آن، به عنوان «اولین موتور شانزده سوپاپ سایپا» نیز نام برده می‌شود. موتور ME16 استاندارد آلایندگی یورو5 داشته و مجهز به سیستم CVVT و پمپ روغن با دبی متغیر است که سبب کاهش مصرف سوخت و بالابردن قدرت موتور (نسبت به مدل‌های مشابه خود) می‌شود. البته این موتور چهار سیلندر خطی، به لطف داشتن سیستم پاشش سوخت چند نقطه‌ای، امکان اخذ استاندارد یورو6 را هم دارد. یکسال و نیم پس از شروع تولید موتور ME16 و به صورت دقیق‌تر در پاییز 1403، شرکت سایپا نسخه بهبودیافته شاهین G را با نام جدید «شاهین پلاس» به بازار کشورمان فرستاد. اولین تغییر مهم در شاهین پلاس، حذف پیشرانه قدیمی اما توربوشارژ M15TC و استفاده از پیشرانه جدید اما تنفس طبیعی ME16 است که علاوه بر کاهش استهلاک مجموعه پیشرانه، باعث کاهش مصرف سوخت نیز شده. همچنین باید این نکته را هم یادآوری کرد که قدرت خروجی موتور شاهین پلاس، تقریبا ثابت باقیمانده است ولی گشتاور خروجی‌اش، حدود 15% کمتر از شاهین توربو شده که البته محسوس نیست. دومین تغییر مهم در شاهین پلاس، استفاده از گیربکس شش سرعته اتومات (AT6) است درحالیکه شاهین جی اتومات، به گیربکس CVT با هفت دنده مصنوعی، مجهز بود. سومین تغییر مهم در شاهین پلاس را باید اضافه‌شدن آپشن‌های جدیدی دانست که قبلا در شاهین CVT وجود نداشتند. این امکانات جدید عبارتند از: صندلی برقی راننده، گرمکن صندلی‌های جلو، شیشه دودی عقب، تریم دو رنگ کابین به همراه قطعات طرح چوب.  مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
6 دنده اتومات
پیشرانه
4 سیلندر (ME16)
حجم موتور
1.6 لیتر
عملکرد فنی
قدرت
111 اسب‌بخار
گشتاور
150 نیوتن‌متر
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
7.2 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل اول
طول
4446 میلی‌متر
عرض
1771 میلی‌متر
ارتفاع
1490 میلی‌متر
فاصله محوری
2650 میلی‌متر
وزن
1320 کیلوگرم
حجم باک
47 لیتر
چرخ جلو
185/65R15
چرخ عقب
185/65R15
سایر ویژگی‌ها
رینگ آلومینیومی"|"پیشرانه جدید M1E16
بهبود مصرف نسبت به موتور M15TC
کاهش استهلاک نسبت به شاهین توربو
آپشن‌های جدید نسبت به شاهین CVT"|"عدم بهبود کیفیت قطعات
عدم تغییر ظاهری نسبت به شاهین CVT"
سایپا|چانگان CS35 فول 2024|"چانگان CS35 پلاس در هر دو تیپ ۲ و ۳ از مشخصات فنی یکسانی برخوردار است که شامل یک پیشرانه ۱.۴ لیتری توربوشارژ با فناوری پاشش مستقیم سوخت (TGDi) است. این موتور ۴ سیلندر، توانایی تولید ۱۵۸ اسب بخار قدرت در ۵۵۰۰ دور در دقیقه و ۲۶۰ نیوتن متر گشتاور در بازه ۱۵۰۰ تا ۴۰۰۰ دور در دقیقه را دارد. این مشخصات، عملکردی قابل‌قبول برای یک کراس‌اوور شهری ارائه می‌دهند و برای رانندگی در شهر و جاده مناسب هستند. توان تولیدی موتور از طریق گیربکس ۷ سرعته دوکلاچه تر (Wet DCT) به چرخ‌های جلو منتقل می‌شود که تعویض دنده‌های نرم و سریعی را فراهم می‌کند. این گیربکس نسبت به گیربکس‌های اتوماتیک معمولی، مصرف سوخت کمتری دارد و تجربه رانندگی پویاتری ارائه می‌دهد. سیستم تعلیق CS35 پلاس در محور جلو از نوع مک‌فرسون و در محور عقب از نوع نیمه‌مستقل پیچشی است. این ترکیب، سواری نرمی را در مسیرهای شهری فراهم می‌کند، اما در سرعت‌های بالا یا جاده‌های ناهموار، ممکن است کمی سفت به نظر برسد. مصرف سوخت این خودرو به‌صورت میانگین ۶.۴ لیتر در هر ۱۰۰ کیلومتر اعلام شده که با استاندارد یورو ۶ همخوانی دارد و برای یک کراس‌اوور کامپکت، اقتصادی محسوب می‌شود. شتاب صفر تا صد این خودرو حدود ۱۰ ثانیه است که در مقایسه با رقبا، مانند هایما S5، عملکرد متوسطی ارائه می‌دهد. چانگان CS35 پلاس با وزن حدود ۱۳۹۰ کیلوگرم، چابکی مناسبی در رانندگی شهری دارد. سیستم فرمان برقی این خودرو، دقت و نرمی قابل‌قبولی ارائه می‌دهد و در سه حالت اسپرت، کامفورت و استاندارد قابل تنظیم است. این ویژگی، به‌ویژه در تیپ ۳، تجربه رانندگی را بهبود می‌بخشد. حداکثر سرعت این خودرو حدود ۲۰۰ کیلومتر بر ساعت است که برای یک کراس‌اوور شهری، کافی به نظر می‌رسد. در مقایسه با رقبا، موتور ۱.۴ لیتری توربوشارژ CS35 پلاس نسبت به موتورهای تنفس طبیعی برخی رقبا، مانند ام‌وی‌ام X55 پرو، عملکرد بهتری دارد، اما در مقابل رقبای قدرتمندتر مانند هایما S5 با موتور ۱.۵ لیتری توربو، ممکن است کمی ضعیف‌تر عمل کند. درمجموع، مشخصات فنی CS35 پلاس برای استفاده‌های روزمره و خانوادگی مناسب است و تعادل خوبی بین عملکرد، مصرف سوخت و راحتی ارائه می‌دهد.مشخصات چانگان CS35 پلاس
کلاس بدنه
کراس اوور
انتقال نیرو
دیفرانسیل جلو
نوع جعبه دنده
7 سرعته دوکلاچه
حداکثر توان
158 اسب بخار
تنفس موتور
توربوشارژ
تعداد سیلندر
4 سیلندر"|"چانگان CS35 یکی از کراس‌اوورهای کوچک شهری محبوب در ایران است که طی دهه 1390 خورشیدی توسط سایپا به بازار ایران عرضه شد. در حالی که تولید این خودرو پس از اعمال مجدد تحریم‌های اقتصادی با توقف روبرو شد، نسخه‌های جدیدتر آن همچون چانگان CS35 پلاس در چین و دیگر بازارها به فروش رسیدند. چانگان CS35 پلاس به عنوان نسخه فیس لیفت از نسل دوم این خودرو، اکنون به بازار ما بازگشته است تا موفقیت‌های نسل نخست را تکرار کند. نسل نخست چانگان CS35 به واسطه مشخصات فنی قابل قبول و کیفیت ساخت مناسب توانست محبوب مشتریان واقع شود و اکنون نسخه جدید این خودرو با انبوهی از بروزرسانی‌ها، خود را به عنوان کراس‌اووری جوان پسند و مدرن معرفی می‌کند.

200 km/h
حداکثر سرعت
6.4 liter/100km
مصرف سوخت
1392 cc
حجم موتور"|"تامین قطعات یدکی
ارزش خرید در برابر مونتاژی‌های هم‌رده"
سایپا|چانگان CS55 مدل 2024|"پس از عرضه خودروهای زوتی DL5 و چانگان CS35 پلاس، سومین محصول تمام وارداتی که شرکت سایپا در سال 1402 تحویل آنرا آغاز کرد، کراس‌اور جمع و جور CS55 PLUS بود که در بهمن‌ماه 1402 و ابتدا با مدل 2023 بدست خریداران ایرانی رسید. برای آنکه این خودرو را بهتر بشناسیم، باید سرگذشت آنرا مرور کنیم. چانگان CS55 متولد سال 2017 است و اولین فیس‌لیفتش را در 2018 تجربه کرد. سپس در 2019 دومین فیس‌لیفت آن با نام CS55 پلاس معرفی شد که با آمدنش، تولید نسخه معمولی، بتدریج کاهش یافت و نهایتا در اواخر همان سال نیز متوقف گردید. اما در سال 2021 نوبت به دومین نسل CS55 پلاس رسید که توسط شرکت سایپا نیز در خیابان‌های کشورمان حضور یافته است. نسل دوم این خودرو به لحاظ فنی، نسبت به نسل اول، تغییری در موتور نداشته ولی گیربکس هفت سرعته دوکلاچه (DCT) آن کاملا جدید بوده و جایگزین گیربکس شش سرعته اتومات شده است. به لحاظ ظاهری نیز نسل دوم CS55 پلاس، براساس زبان طراحی جدید چانگان، که در مدل UNI-T نیز امتحانش را پس داده بود، شکل گرفته است. در لیست امکانات نسخه وارداتی سایپا، چند ویژگی جالب به چشم می‌خورد. اولین ویژگی، مربوط به سیستم صوتی این خودروست که توسط شرکت پایونیر ساخته شده. دومین ویژگی، مربوط به سیستم ضدواژگونی یا ROM است که در زمان تغییر مسیر ناگهانی خودرو یا در زمان افزایش ناگهانی شتاب جانبی وارده به خودرو، بصورت اتوماتیک وارد مدار شده و با کمک سیستم ESP، کنترل فرمان و ترمزها را در اختیار گرفته و مانع واژگونی خودرو می‌شود. سومین ویژگی نیز مربوط به سیستم ترمز دینامیکی یا DBF است که در زمان ترمزگیری ناگهانی، فشار هیدرولیکی وارده بر ترمزها را به حداکثر می‌رساند تا خودرو در کم‌ترین زمان ممکن متوقف گردد. آنطور که چانگان گفته، به لطف وجود این سیستم، مسافت ترمزگیری این خودرو از سرعت 100 کیلومتربرساعت تا توقف کامل، تنها 38 متر است.  مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
7 دنده اتومات دوکلاچه تر با حالت اسپرت
پیشرانه
4 سیلندر توربوشارژ (JL473ZQ7)
حجم موتور
1.5 لیتر
عملکرد فنی
قدرت
180 اسب‌بخار
گشتاور
286 نیوتن‌متر
سرعت
190 کیلومتر برساعت
مصرف ترکیبی
6.6 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
شاسی بلند جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل دوم
طول
4515 میلی‌متر
عرض
1865 میلی‌متر
ارتفاع
1680 میلی‌متر
فاصله محوری
2656 میلی‌متر
وزن
1460 کیلوگرم
حجم باک
55 لیتر
چرخ جلو
225/55R19
چرخ عقب
225/55R19
سایر ویژگی‌ها
رینگ آلومینیومی"|"طراحی به‌روز و جوان‌پسند
صندلی‌های اسپرت در جلو
صندوق عقب 475 لیتری
سطح امکانات و تجهیزات ایمنی"|"تامین قطعات یدکی
ارزش خرید در برابر مونتاژی‌های هم‌رده"
سایپا|کرولا هیبرید|"کرولا 1.8 هیبرید یکی از مدل‌های پرطرفدار وارداتی است که در سال 1403 پا به بازار کشورمان گذاشت. این خودرو شباهت‌های بسیار زیادی با لوین هیبریدی دارد و به نوعی نمی‌توان آن‌ها را از هم جدا دانست. از لحاظ مشخصات فنی، کرولا هیبرید دارای یک موتور تنفس طبیعی با قدرت تقریبی 96 اسب‌بخار به همراه یک موتور الکتریکی با قدرت تقریبی 94 اسب‌بخار است. البته یک موتور برقی دیگری نیز در این خودرو وجود دارد که حکم ژنراتور را بازی می‌کند به طوری که حتی در شتاب‌گیری‌های مثبت نیز می‌تواند موتور برقی را شارژ کند. این خودرو از گیربکس e-CVT بهره می‌برد و قدرت را به محور جلویی انتقال می‌دهد. مصرف سوخت آن نیز بسیار مناسب و اقتصادی است. سیستم هیبریدی کرولا باعث کاهش مصرف سوخت و آلایندگی می‌شود. این خودرو به دلیل سیستم بازیابی انرژی ترمز و تکنولوژی‌های پیشرفته هیبریدی، راندمان بالایی دارد و تجربه رانندگی نرمی را ارائه می‌دهد. درباره کرولا هیبرید وارداتی، چند نکته قابل توجه وجود دارد: (1) برخلاف لوین هیبرید که در کارخانجات GAC ساخته شده، اما کرولاهیبرید در کارخانه FAW به تولید رسیده (2) اکثر نسخه‌های وارداتی این خودرو از تیپ «الیت» هستند اما تعداد بسیار محدودی از تیپ «پایونیر» نیز در کشورمان موجود است که در مقایسه با تیپ الیت، سانروف ندارند، دوربین عقب ندارند و به‌جای رینگ 16 اینچ، از رینگ 15 اینچ بهره می‌برند (3) به دلیل محدودیت سقف قیمت برای واردات خودرو، نسخه فول آپشن کرولا هیبرید که تیپ «فلگشیپ» نام دارد، نتوانسته به کشورمان بیاید و به همین دلیل، امکانات خوبی مانند رینگ 17 اینچ، کلاستر بزرگ 10.25 اینچی، صندلی برقی راننده و گرمکن صندلی‌ جلو، از روی نسخه وارداتی حذف شده‌ (4) کرولا هیبریدی با اینکه مجهز به سیستم ایمنی اختصاصی تویوتا با نام Safety Sence است ولی در عین حال، ویژگی‌هایی مانند رادار نقطه کور، ایربگ زانویی راننده و حتی سنسورهای پارک جلو و عقب هم ندارد و جالب‌تر اینکه تویوتا، در نسخه فول آپشن این خودرو در بازار چین نیز این سه ویژگی را قرار نداده است (5) کرولا هیبرید، همانند کرولا کراس هیبرید، مجهز به کلید EV mode است ولی باید بدانید که مسافت قابل پیمایش آن در حالت تمام برقی، بسیار کمتر از عدد 40 کیلومتری است که توسط کمپانی اعلام شده.  مشخصات فنی
محور محرک
دیفرانسیل جلو
گیربکس
E-CVT
پیشرانه
4 سیلندر (8ZR) با 1 موتور الکتریکی
حجم موتور
1.8 لیتر
عملکرد فنی
قدرت
135 اسب‌بخار
گشتاور
185 نیوتن‌متر
شتاب
9.8 ثانیه
سرعت
160 کیلومتر برساعت
مصرف ترکیبی
4.1 لیتر در صد کیلومتر
ابعاد و اندازه ها
نوع بدنه
سدان جمع و جور
نوع شاسی
یکپارچه
نسل (کد اتاق)
نسل دوازدهم (E210)
طول
4635 میلی‌متر
عرض
1780 میلی‌متر
ارتفاع
1435 میلی‌متر
فاصله محوری
2700 میلی‌متر
وزن
1405 کیلوگرم
حجم باک
43 لیتر
چرخ جلو
205/55R16
چرخ عقب
205/55R16
سایر ویژگی‌ها
رینگ آلومینیومی"|"صندوق عقب 470 لیتری
سیستم خودران سطح 2
پلتفرم مشترک با لوین هیبرید"|"حذف برخی آپشن‌ها در نسخه وارداتی
کمبود امکانات رفاهی (نسبت به قیمت)"
سایپا|روئوه ERX5|"رووی eRX5 از قوای محرکه پلاگین هیبرید استفاده می‌کند. این خودرو دارای یک موتور بنزینی ۴ سیلندر توربوشارژ به قدرت ۱۸۸ اسب بخار و ۲۷۰ نیوتن.متر گشتاور است که به کمک یک موتور الکتریکی می‌تواند به‌صورت ترکیبی در نهایت ۲۴۱ اسب بخار و ۵۷۰ نیوتن.متر را از طریق یک گیربکس اتوماتیک ۱۰ سرعته AT به محور چرخ‌های جلو ارسال کند.
نوع موتور خودرو	خطی بنزینی برقی (هیبرید)
حجم موتور	۱.۵ لیتر
سیلندر / سوپاپ	۴ / ۱۶
تنفس موتور	توربوشارژر
قدرت	۲۴۱ اسب بخار
گشتاور	۵۷۰ نیوتن.متر
گیربکس	۱۰ سرعته اتوماتیک
محور محرک	دیفرانسیل جلو
شتاب	۶.۹ ثانیه
سرعت	۲۰۰ کیلومتر بر ساعت
مصرف سوخت	۳.۳ لیتر در صد کیلومتر
استاندارد آلایندگی	یورو ۶
فرمان	برقی
بدنه	کراس اوور کامپکت
نوع رینگ	آلومینیومی
ابعاد و ظرفیت ‌ها
طول	۴۶۵۵ میلیمتر
عرض	۱۸۹۰ میلیمتر
ارتفاع	۱۶۶۴ میلیمتر
فاصله محورها	۲۷۶۵ میلیمتر
وزن خالص	 ۱۸۴۰ کیلوگرم
تعداد سرنشین	۵ نفر
ظرفیت صندوق عقب	۵۰۷ لیتر
حجم مخزن سوخت	۴۸ لیتر
قطر رینگ	–
این قوای محرکه هیبریدی می‌تواند شتاب صفر تا صد رووی eRX5 را به ۶.۹ ثانیه برساند که برای یک کراس ‌اوور خانوادگی شتابی بسیار سریع و مهیجی محسوب می‌شود. همچنین شرکت سازنده ادعا می‌کند که این خودرو تنها ۳.۳ لیتر در هر ۱۰۰ کیلومتر به‌صورت ترکیبی بنزین می‌سوزاند و می‌تواند تا ۱۰۵۰ کیلومتر را به کمک برق و بنزین و با یک مرتبه سوخت‌گیری بپیماید.

همچنین رووی eRX5 قادر است حدود ۱۶۷ کیلومتر مسافت را به‌صورت کاملا برقی و بدون روشن شدن موتور بنزینی به حرکت خود ادامه دهد. یک باتری لیتیوم یون فسفات به ظرفیت ۱۲.۳ کیلووات ساعت نیز وظیفه تامین انرژی باتری را بر عهده دارد.

حداکثر سرعت این خودرو ۱۸۴۰ کیلوگرمی حدود ۲۰۰ کیلومتر بر ساعت برآورد شده و بنزین مورد نیاز آن از طریق یک باک ۴۸ لیتری تامین می‌شود. با توجه به مشخصاتی که اشاره کردیم، می‌توان گفت که رووی ERX5 یکی از سریع‌ترین و از طرفی کم‌مصرف‌ترین خودروهای شاسی بلند شهری در بازار ایران خواهد بود.

البته بحث حساسیت‌های موتورهای توربوشارژ به کیفیت بنزین و پیچیدگی فنی خودروهای هیبریدی در فرآیند خدمات پس از فروش نیز می‌تواند پاشنه آشیل این نوع ماشین‌ها همچون محصول فردا موتورز در کشور باشد."|" کیفیت ساخت بهتر از خودروهای چینی

+ شتاب بالا

+ مصرف سوخت پایین

+ طراحی ظاهری و کابین زیبا

+ امکانات متنوع و مدرن"|"– پیچیدگی فنی خودروهای هیبرید

– محدودیت خدمات پس از فروش"
